Guatemala,,,Member,,,,1
Guinea,Member,,Member,,,,2
Guinea Bissau,Member,,Member,,,,2
Guyana,,,Member,,Member,,2
Haiti,,,Member,,Member,,2
Honduras,,,Member,,,Member,2
Hungary,,,Member,,,,1
Iceland,,,Member,,,,1
India,,,Member,,,,1
Indonesia,,,Member,Member,,,2
Iran,,,Observer,,,,1
Iraq,,,Observer,,,,1
Ireland,,,Member,,,,1
Israel,,,Member,,,,1
West Bank,,,,,,,0
Gaza Strip,,,,,,,0
Italy,,,Member,,,,1
Jamaica,,,Member,,Member,,2
Japan,,,Member,,,,1
Jordan,,,Member,,,,1
Kazakhstan,,,Observer,,,,1
Kenya,Member,,Member,,,,2
Kiribati,,,,,,,0
Kosovo,,,,,,,0
Kuwait,,,Member,,,,1
Kyrgyzstan,,,Member,,,,1
Laos,,,Member,Member,,,2
Latvia,,,Member,,,,1
Lebanon,,,Observer,,,,1
Lesotho,Member,,Member,,,,2
Liberia,Member,,Observer,,,,2
Libya,,,Observer,,,,1
Liechtenstein,,,Member,,,,1
Lithuania,,,Member,,,,1
Luxembourg,,,Member,,,,1
Macedonia,,,Member,,,,1
Madagascar,Member,,Member,,,,2
Malawi,Member,,Member,,,,2
Malaysia,,,Member,Member,,,2
Maldives,,,Member,,,,1
Mali,Member,,Member,,,,2
Malta,,,Member,,,,1
Marshall Islands,,,,,,,0
Mauritania,Member,,Member,,,,2
Mauritius,Member,,Member,,,,2
Mexico,,Member,Member,,,,2
Moldova,,,Member,,,,1
Monaco,,,,,,,0
Mongolia,,,Member,,,,1
Montenegro,,,Member,,,,1
Morocco,,,Member,,,,1
Mozambique,Member,,Member,,,,2
Namibia,Member,,Member,,,,2
Nauru,,,,,,,0
Nepal,,,Member,,,,1
Netherlands,,,Member,,,,1
New Zealand,,,Member,,,,1
Nicaragua,,,Member,,,Member,2
Niger,Member,,Member,,,,2
Nigeria,Member,,Member,,,,2
North Korea,,,,,,,0
Norway,,,Member,,,,1
Oman,,,Member,,,,1
Pakistan,,,Member,,,,1
Palau,,,,,,,0
Panama,,,Member,,,,1
Papua New Guinea,,,Member,,,,1
Paraguay,,,Member,,,,1
Peru,,,Member,,,,1
Philippines,,,Member,Member,,,2
Poland,,,Member,,,,1
Portugal,,,Member,,,,1
Qatar,,,Member,,,,1
Republic of Congo,Member,,Member,,,,2
Republic of Serbia,,,Observer,,,,1
Romania,,,Member,,,,1
Russia,,,Member,,,,1
Rwanda,Member,,Member,,,,2
Saint Kitts and Nevis,,,Member,,Member,,2
Saint Lucia,,,Member,,Member,,2
Saint Vincent and the Grenadines,,,Member,,Member,,2
Samoa,,,Member,,,,1
San Marino,,,,,,,0
Sao Tome and Principe,Member,,Observer,,,,2
Saudi Arabia,,,Member,,,,1
Senegal,Member,,Member,,,,2
Seychelles,Member,,Observer,,,,2
Sierra Leone,Member,,Member,,,,2
Singapore,,,Member,Member,,,2
Slovakia,,,Member,,,,1
Slovenia,,,Member,,,,1
Solomon Islands,,,Member,,,,1
Somalia,Member,,,,,,1
South Africa,Member,,Member,,,,2
South Korea,,,Member,,,,1
South Sudan,,,,,,,0
Spain,,,Member,,,,1
Sri Lanka,,,Member,,,,1
Sudan,Member,,Observer,,,,2
Suriname,,,Member,,,,1
Swaziland,Member,,Member,,,,2
Sweden,,,Member,,,,1
Switzerland,,,Member,,,,1
Syria,,,Observer,,,,1
Taiwan,,,Member,,,,1
Tajikistan,,,Member,,,,1
Thailand,,,Member,Member,,,2
The Bahamas,,,Observer,,Member,,2
Timor-Leste,,,,,,,0
Togo,Member,,Member,,,,2
Tonga,,,Member,,,,1
Trinidad and Tobago,,,Member,,Member,,2
Tunisia,,,Member,,,,1
Turkey,,,Member,,,,1
Turkmenistan,,,,,,,0
Tuvalu,,,,,,,0
Uganda,Member,,Member,,,,2
Ukraine,,,Member,,,,1
United Arab Emirates,,,Member,,,,1
United Kingdom,,,Member,,,,1
United Republic of Tanzania,Member,,Member,,,,2
United States of America,,Member,Member,,Member,Member,4
Uruguay,,,Member,,,,1
Uzbekistan,,,Observer,,,,1
Vanuatu,,,Member,,,,1
Vatican,,,Observer,,,,1
Venezuela,,,Member,,,,1
Vietnam,,,Member,Member,,,2
Western Sahara,,,,,,,0
Yemen,,,Observer,,,,1
Zambia,Member,,Member,,,,2
Zimbabwe,Member,,Member,,,,2
